Year,OIL-GAS (mt CO2),COAL (mt CO2),Total CO2 (mt),Total Electricity generated (MU),EF
2015-16,1.45,0.1,1.55,4613.04,0.33600402337720897
2016-17,1.27,1.61,2.88,6144.65,0.4687004141814424
2017-18,1.16,1.68,2.84,5996.61,0.4736009178519197
2018-19,1.22,2.79,4.01,7073.85,0.5668765947821908
2019-20,1.26,3.78,5.04,8089.13,0.6230583511453024
2020-21,1.22,2.95,4.17,6020.53,0.6926300508426999
2021-22,1.43,4.08,5.51,8398.9,0.6560382907285478
2022-23,1.57,4.9,6.470000000000001,9154.32,0.7067701369408106
2023-24,1.57,4.92,6.49,9429.34,0.6882772283107832
2024-25,0.94,2.95,3.89,5151.72,0.7550876212216502
