Year,COAL (mt CO2),OIL-GAS (mt CO2),Total CO2 (mt),Total Electricity generated (MU),EF
2015-16,84.68,0,84.68,90715.75,0.9334652472145135
2016-17,101.07,0,101.07,107132.43,0.9434118128376254
2017-18,97.96,0,97.96,111110.96,0.8816411990320306
2018-19,112.43,0,112.43,116659.45,0.963745328818197
2019-20,110.95,0,110.95,119336.93,0.9297205818852555
2020-21,132.21,0,132.21,136667.58,0.9673837789474286
2021-22,136.31,0,136.31,143213.2,0.9517977393145324
2022-23,138.93,0,138.93,144839.63,0.9591988049127161
2023-24,158.31,0,158.31,165187.83,0.9583635792055626
2024-25,93.12,0,93.12,83398.98,1.116560418364829
