Year,COAL (mt CO2),OIL-GAS (mt CO2),Total CO2 (mt),Total Electricity generated (MU),EF
2015-16,87.86,5.65,93.51,112920.99,0.8281011351388258
2016-17,85.55,4.69,90.24,109246.6,0.8260211301770489
2017-18,75.42,6.27,81.69,108460.23,0.7531792989928198
2018-19,83.03,5.76,88.79,110763.69,0.801616486413553
2019-20,84.06,6.08,90.14,124666.26,0.7230504869561339
2020-21,78.1,8.49,86.58999999999999,121859.33,0.7105734128031065
2021-22,50.15,3.09,53.24,87886.8,0.6057792524019534
2022-23,53.59,1.0,54.59,95017.29,0.5745270150306329
2023-24,74.68,3.79,78.47000000000001,135398.9,0.5795468057716866
2024-25,50.5,3.67,54.17,83775.66,0.6466078572224916
