Year,COAL (mt CO2),OIL-GAS (mt CO2),Total CO2 (mt),Total Electricity generated (MU),EF
2015-16,25.46,0,25.46,26288.19,0.9684957389611076
2016-17,25.14,0,25.14,26007.01,0.9666624498548662
2017-18,24.37,0,24.37,27644.05,0.8815640255317148
2018-19,26.67,0,26.67,27000.77,0.9877496086222726
2019-20,25.14,0,25.14,26245.94,0.9578624351042485
2020-21,26.98,0,26.98,27461.35,0.9824717284474361
2021-22,28.07,0,28.07,28915.4,0.9707629844304418
2022-23,29.72,0,29.72,30858.9,0.9630933053349277
2023-24,34.83,0,34.83,35981.99,0.9679842610150245
2024-25,22.83,0,22.83,20189.97,1.1307594810690653
