Year,COAL (mt CO2),OIL-GAS (mt CO2),Total CO2 (mt),Total Electricity generated (MU),EF
2015-16,94.57,2.38,96.95,128001.0,0.7574159576878305
2016-17,89.5,4.27,93.77,129384.44,0.7247393890640945
2017-18,94.1,4.08,98.18,136345.74,0.7200811701194332
2018-19,111.46,3.8,115.26,151867.06,0.7589532581983216
2019-20,102.67,3.6,106.27,145404.0,0.7308602239278149
2020-21,97.13,2.68,99.81,131804.85,0.7572558976395785
2021-22,112.97,2.57,115.54,153065.3,0.754841234427398
2022-23,121.05,1.13,122.18,158993.39,0.7684596196106014
2023-24,129.55,1.85,131.4,169037.91,0.7773404202643064
2024-25,74.03,1.82,75.85,86077.26,0.881185112072573
