Year,COAL (mt CO2),OIL-GAS (mt CO2),Total CO2 (mt),Total Electricity generated (MU),EF
2015-16,18.49,0,18.49,24817.08,0.7450513920251697
2016-17,22.37,0,22.37,28576.45,0.7828124207170589
2017-18,21.95,0,21.95,31302.43,0.7012235152350792
2018-19,25.99,0,25.99,32408.27,0.8019557970851268
2019-20,20.62,0,20.62,28764.57,0.7168541021124252
2020-21,17.68,0,17.68,25606.29,0.6904553529621043
2021-22,23.43,0,23.43,31127.72,0.7527053057532
2022-23,30.67,0,30.67,40075.4,0.7653073955593706
2023-24,31.64,0,31.64,41261.66,0.7668135504000565
2024-25,21.04,0,21.04,22754.41,0.9246559238406973
