Year,COAL (mt CO2),OIL-GAS (mt CO2),Total CO2 (mt),Total Electricity generated (MU),EF
2015-16,69.17,1.2,70.37,85738.3,0.8207533855931363
2016-17,75.47,1.24,76.71,99735.6,0.7691335892098708
2017-18,65.63,1.25,66.88,98566.18,0.678528882827761
2018-19,74.04,1.31,75.35000000000001,100676.98,0.7484332565398765
2019-20,67.14,1.29,68.43,103261.91,0.6626838492528367
2020-21,54.36,1.02,55.38,91736.46,0.603685819138868
2021-22,64.84,0.73,65.57000000000001,106081.36,0.6181104767133454
2022-23,70.25,0.87,71.12,116688.01,0.609488498432701
2023-24,71.3,0.89,72.19,123311.63,0.5854273437144574
2024-25,47.24,0.48,47.72,70313.96,0.6786703522316194
