Year,COAL (mt CO2),OIL-GAS (mt CO2),Total CO2 (mt),Total Electricity generated (MU),EF
2015-16,100.08,2.03,102.11,114567.42,0.8912655971479501
2016-17,109.92,1.25,111.17,123831.75,0.8977503750047948
2017-18,109.0,0.9,109.9,133197.48,0.8250906848988434
2018-19,114.81,0.99,115.8,128475.74,0.9013374820802744
2019-20,112.1,1.03,113.13,129323.44,0.8747834112671299
2020-21,118.0,1.11,119.11,132668.66,0.8978005807852435
2021-22,126.73,0.48,127.21,143159.3,0.8885905421443107
2022-23,147.29,0.42,147.70999999999998,163447.07,0.903717637764935
2023-24,148.68,0.75,149.43,165051.59,0.9053532898410733
2024-25,96.1,0.54,96.64,90578.45,1.066920442997203
