Year,COAL (mt CO2),OIL-GAS (mt CO2),Total CO2 (mt),Total Electricity generated (MU),EF
2015-16,60.91,0,60.91,66368.23,0.9177583913266936
2016-17,69.82,0,69.82,76222.36,0.916004175152803
2017-18,65.61,0,65.61,76305.28,0.8598356496431178
2018-19,73.26,0,73.26,78440.85,0.9339521435578527
2019-20,68.48,0,68.48,75786.81,0.9035873128846563
2020-21,71.9,0,71.9,77478.03,0.9280050099363653
2021-22,80.71,0,80.71,88243.9,0.9146241269934806
2022-23,85.42,0,85.42,91365.65,0.9349246680782111
2023-24,87.17,0,87.17,94250.85,0.9248722955814191
2024-25,53.3,0,53.3,48621.72,1.0962179042617168
