Name,Mileage ,Fuel Type 
Mahindra Jeeto Strong CNG,35,CNG km/kg
Mahindra Jeeto Strong Diesel,32,Diesel km/l
Mahindra Jeeto Plus Petrol,21.2,Petrol
Mahindra Supro Profit Truck Mini 1950/CNG,23.3,CNG km/kg
Mahindra Supro Profit Truck Mini 1950/LX,23.3,Diesel km/l
Mahindra Supro Profit Truck Mini 1950/VX,23.3,Diesel km/l
Mahindra Alfa Plus 2165/Cng Loader,38.6,CNG km/kg
Mahindra Alfa Plus 2165/Diesel Loader,29.4,Diesel km/l
Mahindra Alfa Dx,28.9,Diesel km/l
Piaggio Ape Xtra LDX 2100/CNG,40,CNG km/kg
Piaggio Ape Xtra LDX 2100/Diesel,22,Diesel km/l
Piaggio Ape Auto DX 3-Seater/1920/Diesel,30,Diesel km/l
Piaggio Ape City Plus 3-Seater/1920/Diesel,40,Diesel km/l
Piaggio Ape Xtra LDX Plus,36,Diesel km/l
Piaggio Ape Xtra Classic,29.4,Diesel km/l
Piaggio Ape NXT Plus,50,CNG km/kg
Piaggio Ape Auto Plus,25,Diesel km/l
Piaggio Ape Auto HT DX,38,CNG km/kg
Piaggio Ape Auto DXL,25,Diesel km/l
Bajaj RE,40,Petrol
Bajaj Maxima C,33,Diesel km/l
Bajaj Maxima Z,29.86,Diesel km/l
Bajaj Maxima X Wide,30,Diesel km/l
