Name,Range,Battery ,Type,Efficiency (km/kWh)
BMW CE 02,108,3.92,Moped,27.55102041
OLA S1 X,95,2,Moped,47.5
OLA S1 X,142,3,Moped,47.33333333
OLA S1 X,190,4,Moped,47.5
Revolt RV1,100,2.2,Bike,45.45454545
Bajaj Chetak,123,2.8,Moped,43.92857143
Ola Roadster,151,3.5,Bike,43.14285714
Ola Roadster,190,4.5,Bike,42.22222222
Ola Roadster,248,6,Bike,41.33333333
TVS iQube,75,2.2,Moped,34.09090909
OLA Roadster Pro,316,8,Bike,39.5
Ather Rizta,123,2.9,Moped,42.4137931
Ather Rizta,160,3.7,Moped,43.24324324
OLA Roadster X,117,2.5,Bike,46.8
OLA S1 Pro,195,4,Moped,48.75
Ather 450X,111,2.9,Moped,38.27586207
Ather 450X,150,3.7,Moped,40.54054054
Revolt RV400,150,3.2,Bike,46.875
Ultraviolette F77 Mach 2,211,7.1,Bike,29.71830986
Ultraviolette F77 Mach 3,323,10.3,Bike,31.3592233
OLA S1 Air,151,3,Moped,50.33333333
Vida V1 Plus,143,3.4,Moped,42.05882353
Vida V1 Plus,165,3.9,Moped,42.30769231
Ferrato Disrupto,129,3.9,Bike,33.07692308
Ampere,136,3,Moped,45.33333333
Ather 450S,115,2.9,Moped,39.65517241
TVS X,140,4.4,Moped,31.81818182
Simple Energy One,212,5,Moped,42.4
Hero Electric Optima CX,89,3,Moped,29.66666667
Odysse Evoqis,140,4.3,Bike,32.55813953
Ather 450 Apex,157,3.7,Moped,42.43243243
BGauss RUV 350,90,2.2,Moped,40.90909091
Kinetic Green E Luna,90,2,Moped,45
Matter AERA,125,5,Bike,25
Ampere Magnus,80,1.8,Moped,44.44444444
Yo Edge,60,1.2,Moped,50
Lectrix SX25,60,1.4,Moped,42.85714286
